,president,vice-president,prime-minister,governors,deputy prime minister,chief minister,chief justice,speaker,bharat ratna,sc_judges,businessmen,election commissioners,attorney generals,defence minister,education ministers,external affairs ministers,finance minister,home ministers,law & justice minister,railway minister,road and highways ministers,lok sabha members
40,,,,,,,rajendra mal lodha,,bhimsen joshi,,,,,,,,arun jaitley,,ravi shankar prasad,d. v. sadananda gowda,b. c. khanduri ,rameswar teli
41,,,,,,,h. l. dattu,,c. n. r. rao,,,,,,,,nirmala sitharaman,,kiren rijiju,suresh prabhu,t. r. baalu,pradan baruah
42,,,,,,,t. s. thakur,,sachin tendulkar,,,,,,,,,,,piyush goyal,kamal nath,baidyanath prasad mahto [2]
43,,,,,,,jagdish singh khehar,,madan mohan malaviya[xii]#,,,,,,,,,,,ashwini vaishnaw,c. p. joshi,sunil kumar 
44,,,,,,,dipak misra,,atal bihari vajpayee,,,,,,,,,,,,oscar fernandes,sanjay jaiswal
45,,,,,,,ranjan gogoi,,pranab mukherjee,,,,,,,,,,,,nitin gadkari,radha mohan singh
46,,,,,,,sharad arvind bobde,,bhupen hazarika[xiii]#,,,,,,,,,,,,,rama devi
47,,,,,,,n. v. ramana,,nanaji deshmukh[xiv]#,,,,,,,,,,,,,sunil kumar pintu
48,,,,,,,u. u. lalit (incumbent),,,,,,,,,,,,,,,ashok kumar yadav
49,,,,,,,,,,,,,,,,,,,,,,ramprit mandal
50,,,,,,,,,,,,,,,,,,,,,,dileshwar kamait
51,,,,,,,,,,,,,,,,,,,,,,pradeep kumar singh
52,,,,,,,,,,,,,,,,,,,,,,mohammad jawed
53,,,,,,,,,,,,,,,,,,,,,,dulal chandra goswami
54,,,,,,,,,,,,,,,,,,,,,,santosh kumar
55,,,,,,,,,,,,,,,,,,,,,,dinesh chandra yadav
56,,,,,,,,,,,,,,,,,,,,,,gopal jee thakur
57,,,,,,,,,,,,,,,,,,,,,,ajay nishad
58,,,,,,,,,,,,,,,,,,,,,,veena devi
59,,,,,,,,,,,,,,,,,,,,,,alok kumar suman
60,,,,,,,,,,,,,,,,,,,,,,kavita singh
61,,,,,,,,,,,,,,,,,,,,,,janardan singh sigriwal
62,,,,,,,,,,,,,,,,,,,,,,rajiv pratap rudy
63,,,,,,,,,,,,,,,,,,,,,,pashupati kumar paras
64,,,,,,,,,,,,,,,,,,,,,,nityanand rai
65,,,,,,,,,,,,,,,,,,,,,,ram chandra paswan [3]
66,,,,,,,,,,,,,,,,,,,,,,prince raj 
67,,,,,,,,,,,,,,,,,,,,,,giriraj singh
68,,,,,,,,,,,,,,,,,,,,,,mehboob ali kaiser
69,,,,,,,,,,,,,,,,,,,,,,ajay kumar mandal
70,,,,,,,,,,,,,,,,,,,,,,giridhari yadav
71,,,,,,,,,,,,,,,,,,,,,,lalan singh
72,,,,,,,,,,,,,,,,,,,,,,kaushalendra kumar
73,,,,,,,,,,,,,,,,,,,,,,ravi shankar prasad
74,,,,,,,,,,,,,,,,,,,,,,ram kripal yadav
75,,,,,,,,,,,,,,,,,,,,,,raj kumar singh
76,,,,,,,,,,,,,,,,,,,,,,ashwini kumar choubey
77,,,,,,,,,,,,,,,,,,,,,,chhedi paswan
78,,,,,,,,,,,,,,,,,,,,,,mahabali singh
79,,,,,,,,,,,,,,,,,,,,,,chandeshwar prasad
80,,,,,,,,,,,,,,,,,,,,,,sushil kumar singh
81,,,,,,,,,,,,,,,,,,,,,,vijay kumar manjhi
82,,,,,,,,,,,,,,,,,,,,,,chandan singh
83,,,,,,,,,,,,,,,,,,,,,,chirag paswan
84,,,,,,,,,,,,,,,,,,,,,,renuka singh
85,,,,,,,,,,,,,,,,,,,,,,gomati sai
86,,,,,,,,,,,,,,,,,,,,,,guharam ajgalle
87,,,,,,,,,,,,,,,,,,,,,,jyotsna mahant
88,,,,,,,,,,,,,,,,,,,,,,arun sao
89,,,,,,,,,,,,,,,,,,,,,,santosh pandey
90,,,,,,,,,,,,,,,,,,,,,,vijay baghel
91,,,,,,,,,,,,,,,,,,,,,,sunil kumar soni
92,,,,,,,,,,,,,,,,,,,,,,chunni lal sahu
93,,,,,,,,,,,,,,,,,,,,,,deepak baij
94,,,,,,,,,,,,,,,,,,,,,,mohan mandavi
95,,,,,,,,,,,,,,,,,,,,,,shripad yesso naik
96,,,,,,,,,,,,,,,,,,,,,,francisco sardinha
97,,,,,,,,,,,,,,,,,,,,,,vinodbhai chavda
98,,,,,,,,,,,,,,,,,,,,,,parbatbhai patel
99,,,,,,,,,,,,,,,,,,,,,,bharatsinhji dabhi
100,,,,,,,,,,,,,,,,,,,,,,shardaben patel
